iter	Passed	Remaining
0	3	3676
1	7	3604
2	10	3444
3	14	3616
4	18	3610
5	21	3607
6	25	3605
7	29	3650
8	32	3628
9	36	3612
10	39	3579
11	43	3573
12	47	3607
13	50	3589
14	54	3565
15	57	3554
16	61	3573
17	65	3556
18	68	3546
19	72	3549
20	76	3554
21	79	3539
22	83	3532
23	86	3525
24	90	3517
25	94	3535
26	97	3523
27	101	3516
28	104	3511
29	107	3486
30	111	3492
31	115	3485
32	118	3477
33	122	3470
34	126	3485
35	130	3485
36	133	3475
37	137	3468
38	141	3478
39	145	3486
40	148	3481
41	152	3473
42	156	3475
43	160	3492
44	164	3484
45	167	3475
46	171	3469
47	175	3479
48	178	3473
49	182	3466
50	186	3464
51	190	3466
52	193	3462
53	197	3456
54	200	3452
55	205	3460
56	208	3447
57	211	3442
58	215	3435
59	219	3433
60	222	3430
61	226	3423
62	229	3416
63	233	3413
64	237	3416
65	241	3410
66	244	3406
67	248	3401
68	252	3408
69	256	3403
70	259	3397
71	263	3392
72	267	3390
73	270	3388
74	274	3381
75	277	3375
76	280	3368
77	285	3369
78	288	3362
79	291	3355
80	295	3348
81	298	3347
82	302	3342
83	305	3335
84	309	3329
85	312	3324
86	316	3326
87	320	3319
88	323	3316
89	327	3310
90	331	3311
91	335	3306
92	338	3301
93	342	3296
94	345	3290
95	349	3291
96	353	3286
97	356	3281
98	359	3275
99	363	3275
100	367	3271
101	370	3265
102	374	3260
103	377	3255
104	381	3255
105	385	3250
106	388	3245
107	392	3239
108	396	3239
109	399	3233
110	403	3229
111	406	3222
112	410	3218
113	413	3216
114	417	3210
115	420	3205
116	424	3199
117	428	3199
118	431	3194
119	434	3189
120	438	3183
121	441	3179
122	445	3177
123	448	3171
124	452	3166
125	455	3162
126	460	3163
127	463	3158
128	467	3153
129	470	3149
130	474	3146
131	478	3145
132	482	3142
133	485	3137
134	488	3132
135	492	3131
136	496	3126
137	499	3120
138	502	3115
139	507	3114
140	510	3110
141	513	3105
142	517	3100
143	520	3095
144	524	3093
145	528	3089
146	531	3084
147	534	3078
148	538	3076
149	542	3073
150	545	3069
151	549	3064
152	552	3060
153	556	3058
154	560	3057
155	564	3053
156	567	3049
157	571	3048
158	575	3043
159	578	3039
160	582	3034
161	585	3031
162	589	3028
163	593	3024
164	596	3020
165	600	3015
166	604	3016
167	608	3012
168	611	3007
169	615	3005
170	619	3003
171	623	3000
172	626	2995
173	630	2991
174	633	2987
175	638	2987
176	641	2982
177	644	2977
178	648	2972
179	652	2972
180	656	2969
181	659	2965
182	663	2961
183	667	2959
184	671	2958
185	675	2955
186	678	2951
187	683	2951
188	687	2949
189	691	2946
190	694	2942
191	697	2933
192	701	2934
193	705	2932
194	709	2929
195	713	2926
196	717	2925
197	721	2922
198	724	2915
199	727	2911
200	732	2910
201	736	2907
202	739	2904
203	743	2899
204	747	2898
205	751	2896
206	755	2892
207	758	2888
208	762	2884
209	766	2882
210	769	2878
211	773	2874
212	776	2869
213	780	2868
214	784	2865
215	788	2861
216	791	2857
217	796	2856
218	800	2854
219	804	2850
220	807	2846
221	811	2844
222	815	2842
223	819	2840
224	823	2836
225	828	2835
226	831	2833
227	835	2830
228	839	2825
229	843	2823
230	847	2820
231	851	2819
232	854	2814
233	858	2811
234	863	2810
235	866	2806
236	870	2803
237	874	2801
238	878	2798
239	882	2795
240	886	2791
241	891	2792
242	895	2789
243	899	2786
244	903	2783
245	907	2782
246	911	2778
247	915	2776
248	919	2773
249	924	2773
250	928	2771
251	933	2770
252	937	2768
253	942	2767
254	946	2765
255	950	2761
256	954	2759
257	957	2753
258	960	2749
259	964	2744
260	967	2740
261	971	2737
262	974	2732
263	978	2727
264	981	2723
265	985	2719
266	989	2715
267	992	2710
268	995	2706
269	999	2701
270	1002	2697
271	1006	2693
272	1009	2688
273	1013	2684
274	1016	2680
275	1020	2676
276	1023	2672
277	1027	2668
278	1030	2664
279	1034	2661
280	1038	2657
281	1042	2654
282	1046	2650
283	1050	2647
284	1053	2644
285	1057	2640
286	1061	2636
287	1064	2631
288	1068	2628
289	1071	2624
290	1075	2620
291	1078	2615
292	1082	2612
293	1086	2608
294	1089	2604
295	1092	2599
296	1097	2596
297	1099	2590
298	1103	2586
299	1106	2582
300	1110	2577
301	1113	2574
302	1118	2571
303	1121	2568
304	1125	2564
305	1129	2562
306	1134	2559
307	1137	2555
308	1141	2552
309	1144	2548
310	1148	2545
311	1152	2541
312	1156	2537
313	1159	2533
314	1163	2530
315	1167	2526
316	1170	2522
317	1174	2517
318	1177	2514
319	1181	2510
320	1184	2505
321	1188	2501
322	1191	2497
323	1195	2494
324	1198	2489
325	1202	2486
326	1206	2482
327	1210	2479
328	1214	2476
329	1217	2472
330	1220	2467
331	1224	2463
332	1228	2460
333	1232	2456
334	1235	2452
335	1239	2449
336	1243	2446
337	1247	2443
338	1250	2439
339	1254	2435
340	1258	2431
341	1262	2428
342	1265	2424
343	1269	2420
344	1273	2417
345	1277	2414
346	1280	2410
347	1284	2406
348	1288	2403
349	1291	2399
350	1295	2395
351	1299	2391
352	1302	2388
353	1306	2384
354	1310	2380
355	1314	2377
356	1317	2372
357	1321	2369
358	1324	2365
359	1328	2362
360	1332	2358
361	1336	2354
362	1339	2350
363	1343	2347
364	1346	2343
365	1350	2340
366	1354	2336
367	1358	2332
368	1362	2329
369	1365	2325
370	1369	2321
371	1372	2317
372	1376	2314
373	1380	2310
374	1384	2307
375	1387	2303
376	1391	2299
377	1395	2295
378	1398	2291
379	1402	2288
380	1406	2284
381	1409	2281
382	1413	2277
383	1417	2273
384	1420	2269
385	1424	2265
386	1428	2261
387	1431	2258
388	1435	2254
389	1438	2250
390	1442	2246
391	1446	2243
392	1449	2239
393	1453	2235
394	1457	2231
395	1460	2227
396	1464	2223
397	1467	2220
398	1471	2216
399	1475	2213
400	1479	2209
401	1483	2206
402	1487	2203
403	1491	2200
404	1495	2196
405	1499	2194
406	1504	2191
407	1507	2187
408	1511	2183
409	1516	2181
410	1519	2178
411	1523	2174
412	1526	2170
413	1531	2167
414	1535	2164
415	1538	2160
416	1542	2156
417	1546	2153
418	1551	2150
419	1555	2147
420	1558	2143
421	1563	2141
422	1567	2137
423	1570	2133
424	1574	2129
425	1577	2125
426	1582	2123
427	1586	2119
428	1589	2115
429	1593	2112
430	1597	2109
431	1601	2105
432	1605	2101
433	1608	2097
434	1613	2095
435	1617	2091
436	1620	2087
437	1624	2084
438	1629	2081
439	1633	2078
440	1636	2074
441	1640	2070
442	1644	2068
443	1648	2064
444	1652	2060
445	1655	2056
446	1659	2053
447	1663	2049
448	1667	2045
449	1670	2041
450	1674	2038
451	1678	2035
452	1681	2030
453	1685	2026
454	1689	2023
455	1693	2019
456	1696	2015
457	1699	2011
458	1703	2007
459	1707	2004
460	1711	2001
461	1715	1997
462	1718	1993
463	1723	1990
464	1727	1987
465	1730	1983
466	1734	1979
467	1739	1977
468	1743	1974
469	1747	1970
470	1750	1966
471	1755	1963
472	1759	1959
473	1762	1955
474	1766	1951
475	1769	1948
476	1773	1944
477	1777	1940
478	1780	1936
479	1784	1933
480	1788	1930
481	1792	1926
482	1796	1922
483	1799	1918
484	1804	1916
485	1808	1912
486	1812	1908
487	1815	1904
488	1819	1901
489	1823	1897
490	1827	1894
491	1830	1890
492	1835	1887
493	1838	1883
494	1842	1879
495	1846	1876
496	1850	1872
497	1854	1869
